Graph_ID,Vertices,Edges,Prim_Cost,Kruskal_Cost,Prim_Time_ms,Kruskal_Time_ms,Prim_Ops,Kruskal_Ops
1,22,31,758,758,1.4546,1.6262,194,58
2,11,15,436,436,0.0401,0.0430,87,25
3,25,36,857,857,0.1097,0.0853,224,73
4,24,34,685,685,0.0854,0.0751,213,69
5,15,21,620,620,0.0446,0.0408,130,60
6,243,484,6339,6339,0.8251,0.5985,2852,1307
7,153,304,3846,3846,0.3504,0.3182,1771,803
8,137,272,4010,4010,0.3071,0.2706,1578,725
9,146,290,4076,4076,0.3320,0.2917,1696,776
10,191,380,5219,5219,0.4405,0.3849,2222,1107
11,219,436,6369,6369,0.5030,0.4545,2535,1299
12,126,250,3232,3232,0.3445,0.2540,1445,630
13,219,436,6614,6614,0.5285,0.4430,2532,1354
14,223,444,5538,5538,0.5108,0.3672,2549,1308
15,136,270,3350,3350,0.2951,0.2163,1531,757
16,894,2232,20521,20521,2.4282,2.0053,12303,6328
17,706,1762,15747,15747,1.8773,1.3092,9668,5362
18,796,1987,17929,17929,2.1378,1.2714,10986,5585
19,846,2112,19528,19528,2.2469,1.2543,11611,6310
20,999,2495,23727,23727,2.5540,1.3293,13909,7226
21,593,1480,13059,13059,1.4639,0.7310,8210,3887
22,810,2022,18079,18079,1.1495,0.9993,11150,6227
23,515,1285,11766,11766,0.7033,0.6353,7106,3484
24,611,1525,14783,14783,0.6675,0.7611,8438,4357
25,690,1722,16193,16193,0.8384,0.8504,9549,5134
26,2201,2640,94755,94755,1.3413,1.6085,16928,8234
27,2319,2781,100325,100325,2.1090,1.7696,17868,8932
28,2781,3336,118505,118505,1.8513,2.1040,21363,10711
29,2031,2436,88779,88779,1.2486,1.5167,15585,7869
30,2941,3528,124698,124698,5.4481,2.2155,22746,11284
